CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|CODIGO_LISTA|VOTOS_LISTA
01|01001|000100000000000|13|000100000000000.13.A.000100000000000.13|1165
01|01001|000100000000000|131|000100000000000.131.A.000100000000000.131|1736
01|01001|000100000000000|132|000100000000000.132.A.000100000000000.132|375
01|01001|000100000000000|133|000100000000000.133.A.000100000000000.133|4314
01|01001|000100000000000|135|000100000000000.135.A.000100000000000.135|53662
01|01001|000100000000000|136|000100000000000.136.A.000100000000000.136|41712
01|01001|000100000000000|137|000100000000000.137.A.000100000000000.137|8168
01|01001|000100000000000|36|000100000000000.36.A.000100000000000.36|140
01|01001|000100000000000|57|000100000000000.57.A.000100000000000.57|157
01|01001|000100000000000|87|000100000000000.87.A.000100000000000.87|4047
01|01001|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|1304
01|01001|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|390
01|01001|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|277
01|01001|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|4546
01|01001|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|39919
01|01001|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|53638
01|01001|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|7106
01|01001|000201000000000|13|000201000000000.13.A.000201000000000.13|1014
01|01001|000201000000000|5|000201000000000.5.A.000201000000000.5|1708
01|01001|000201000000000|86|000201000000000.86.A.000201000000000.86|134
01|01001|000201000000000|87|000201000000000.87.A.000201000000000.87|3625
01|01001|000201000000000|88|000201000000000.88.1A.000201000000000.88|159
01|01001|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|1656
01|01001|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|388
01|01001|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|262
01|01001|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|5083
01|01001|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|39141
01|01001|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|53333
01|01001|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|7113
01|01001|000301000000000|13|000301000000000.13.A.000301000000000.13|983
01|01001|000301000000000|5|000301000000000.5.A.000301000000000.5|1685
01|01001|000301000000000|86|000301000000000.86.A.000301000000000.86|133
01|01001|000301000000000|87|000301000000000.87.A.000301000000000.87|3543
01|01001|000301000000000|88|000301000000000.88.1A.000301000000000.88|175
01|01001|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|1256
01|01001|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|4460
01|01001|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|40322
01|01001|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|55450
01|01001|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|6956
01|01001|000501000000000|13|000501000000000.13.A.000501000000000.13|982
01|01001|000501000000000|87|000501000000000.87.B.000501000000000.87|25
01|01001|000501000000000|88|000501000000000.88.1A.000501000000000.88|181
01|01001|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|1313
01|01001|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|4780
01|01001|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|39788
01|01001|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|53994
01|01001|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|6749
01|01001|000801000000000|13|000801000000000.13.A.000801000000000.13|1008
01|01001|000801000000000|5|000801000000000.5.A.000801000000000.5|1627
01|01001|000801000000000|87|000801000000000.87.A.000801000000000.87|3373
01|01001|000801000000000|87|000801000000000.87.B.000801000000000.87|8
01|01001|000801000000000|88|000801000000000.88.1A.000801000000000.88|196
01|01001|000901001000000|01-501|000901001000000.01-501.A.000901001000000.01-501|4869
01|01001|000901001000000|01-502|000901001000000.01-502.A.000901001000000.01-502|39765
01|01001|000901001000000|01-503|000901001000000.01-503.A.000901001000000.01-503|54046
01|01001|000901001000000|01-504|000901001000000.01-504.A.000901001000000.01-504|6766
01|01001|000901001000000|13|000901001000000.13.A.000901001000000.13|1041
01|01001|000901001000000|5|000901001000000.5.A.000901001000000.5|1619
01|01002|000100000000000|13|000100000000000.13.A.000100000000000.13|689
01|01002|000100000000000|131|000100000000000.131.A.000100000000000.131|1367
01|01002|000100000000000|132|000100000000000.132.A.000100000000000.132|128
01|01002|000100000000000|133|000100000000000.133.A.000100000000000.133|2139
01|01002|000100000000000|135|000100000000000.135.A.000100000000000.135|49776
01|01002|000100000000000|136|000100000000000.136.A.000100000000000.136|15647
01|01002|000100000000000|137|000100000000000.137.A.000100000000000.137|5337
01|01002|000100000000000|36|000100000000000.36.A.000100000000000.36|64
01|01002|000100000000000|57|000100000000000.57.A.000100000000000.57|52
01|01002|000100000000000|87|000100000000000.87.A.000100000000000.87|2837
01|01002|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|638
01|01002|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|149
01|01002|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|90
01|01002|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|2294
01|01002|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|15083
01|01002|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|49105
01|01002|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|4451
01|01002|000201000000000|13|000201000000000.13.A.000201000000000.13|590
01|01002|000201000000000|5|000201000000000.5.A.000201000000000.5|2270
01|01002|000201000000000|86|000201000000000.86.A.000201000000000.86|57
01|01002|000201000000000|87|000201000000000.87.A.000201000000000.87|2495
01|01002|000201000000000|88|000201000000000.88.1A.000201000000000.88|52
01|01002|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|895
01|01002|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|150
01|01002|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|87
01|01002|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|2638
