CODIGO_REGION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
00000000|000100000000000|13|156928|21943433|0.71
00000000|000100000000000|131|578988|21943433|2.63
00000000|000100000000000|132|52825|21943433|0.24
00000000|000100000000000|133|633355|21943433|2.88
00000000|000100000000000|135|7091836|21943433|32.31
00000000|000100000000000|136|10377370|21943433|47.29
00000000|000100000000000|137|1837217|21943433|8.37
00000000|000100000000000|36|26060|21943433|0.11
00000000|000100000000000|57|33318|21943433|0.15
00000000|000100000000000|87|488745|21943433|2.22
00000000|000201000000000|01-187|23790|1852478|1.28
00000000|000201000000000|01-262|5064|1852478|0.27
00000000|000201000000000|01-343|3758|1852478|0.20
00000000|000201000000000|01-501|78245|1852478|4.22
00000000|000201000000000|01-502|590263|1852478|31.86
00000000|000201000000000|01-503|839405|1852478|45.31
00000000|000201000000000|01-504|139427|1852478|7.52
00000000|000201000000000|13|17838|1852478|0.96
00000000|000201000000000|5|16904|1852478|0.91
00000000|000201000000000|86|1887|1852478|0.10
00000000|000201000000000|87|58086|1852478|3.13
00000000|000201000000000|88|1937|1852478|0.10
00000000|000206000000000|06-156|16053|455638|3.52
00000000|000206000000000|06-179|2424|455638|0.53
00000000|000206000000000|06-180|1495|455638|0.32
00000000|000206000000000|06-501|271775|455638|59.64
00000000|000206000000000|06-502|2324|455638|0.51
00000000|000206000000000|06-503|116375|455638|25.54
00000000|000206000000000|06-504|11017|455638|2.41
00000000|000206000000000|33|3897|455638|0.85
00000000|000206000000000|71|6120|455638|1.34
00000000|000208000000000|08-501|349673|788303|44.35
00000000|000208000000000|08-502|288118|788303|36.54
00000000|000208000000000|13|7178|788303|0.91
00000000|000208000000000|50|67886|788303|8.61
00000000|000208000000000|68|17243|788303|2.18
00000000|000215000000000|13|3727|334526|1.11
00000000|000215000000000|15-151|66105|334526|19.76
00000000|000215000000000|15-501|81485|334526|24.35
00000000|000215000000000|15-502|16619|334526|4.96
00000000|000215000000000|15-503|117064|334526|34.99
00000000|000215000000000|15-504|17119|334526|5.11
00000000|000216000000000|13|3717|372462|0.99
00000000|000216000000000|16-169|109575|372462|29.41
00000000|000216000000000|16-502|163680|372462|43.94
00000000|000216000000000|16-503|12202|372462|3.27
00000000|000217000000000|17-501|299791|619992|48.35
00000000|000217000000000|17-502|112414|619992|18.13
00000000|000217000000000|17-503|140504|619992|22.66
00000000|000217000000000|17-504|21013|619992|3.38
00000000|000217000000000|19|28477|619992|4.59
00000000|000222000000000|22-178|3725|529384|0.70
00000000|000222000000000|22-179|2945|529384|0.55
00000000|000222000000000|22-501|299058|529384|56.49
00000000|000222000000000|22-502|106203|529384|20.06
00000000|000222000000000|22-503|71386|529384|13.48
00000000|000222000000000|38|5383|529384|1.01
00000000|000222000000000|40|14386|529384|2.71
00000000|000222000000000|87|3777|529384|0.71
00000000|000224000000000|24-187|4506|87063|5.17
00000000|000224000000000|24-203|2510|87063|2.88
00000000|000224000000000|24-501|35966|87063|41.31
00000000|000224000000000|24-502|15132|87063|17.38
00000000|000224000000000|24-503|10951|87063|12.57
00000000|000224000000000|69|7844|87063|9.00
00000000|000301000000000|01-187|30729|1852174|1.65
00000000|000301000000000|01-262|5033|1852174|0.27
00000000|000301000000000|01-343|3772|1852174|0.20
00000000|000301000000000|01-501|87610|1852174|4.73
