CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
01|01001|000100000000000|13|1167|119314|0.97
01|01001|000100000000000|131|1742|119314|1.46
01|01001|000100000000000|132|375|119314|0.31
01|01001|000100000000000|133|4318|119314|3.61
01|01001|000100000000000|135|53811|119314|45.10
01|01001|000100000000000|136|41754|119314|34.99
01|01001|000100000000000|137|8185|119314|6.86
01|01001|000100000000000|36|140|119314|0.11
01|01001|000100000000000|57|158|119314|0.13
01|01001|000100000000000|87|4055|119314|3.39
01|01001|000201000000000|01-187|1308|119180|1.09
01|01001|000201000000000|01-262|390|119180|0.32
01|01001|000201000000000|01-343|277|119180|0.23
01|01001|000201000000000|01-501|4550|119180|3.81
01|01001|000201000000000|01-502|39958|119180|33.52
01|01001|000201000000000|01-503|53783|119180|45.12
01|01001|000201000000000|01-504|7121|119180|5.97
01|01001|000201000000000|13|1016|119180|0.85
01|01001|000201000000000|5|1718|119180|1.44
01|01001|000201000000000|86|134|119180|0.11
01|01001|000201000000000|87|3634|119180|3.04
01|01001|000201000000000|88|159|119180|0.13
01|01001|000301000000000|01-187|1662|119105|1.39
01|01001|000301000000000|01-262|388|119105|0.32
01|01001|000301000000000|01-343|262|119105|0.21
01|01001|000301000000000|01-501|5084|119105|4.26
01|01001|000301000000000|01-502|39181|119105|32.89
01|01001|000301000000000|01-503|53480|119105|44.90
01|01001|000301000000000|01-504|7128|119105|5.98
01|01001|000301000000000|13|985|119105|0.82
01|01001|000301000000000|5|1695|119105|1.42
01|01001|000301000000000|86|133|119105|0.11
01|01001|000301000000000|87|3550|119105|2.98
01|01001|000301000000000|88|175|119105|0.14
01|01001|000501000000000|01-187|1259|119825|1.05
01|01001|000501000000000|01-501|4464|119825|3.72
01|01001|000501000000000|01-502|40361|119825|33.68
01|01001|000501000000000|01-503|55600|119825|46.40
01|01001|000501000000000|01-504|6973|119825|5.81
01|01001|000501000000000|13|984|119825|0.82
01|01001|000501000000000|87|25|119825|0.02
01|01001|000501000000000|88|181|119825|0.15
01|01001|000801000000000|01-187|1316|119976|1.09
01|01001|000801000000000|01-501|4784|119976|3.98
01|01001|000801000000000|01-502|39826|119976|33.19
01|01001|000801000000000|01-503|54140|119976|45.12
01|01001|000801000000000|01-504|6766|119976|5.63
01|01001|000801000000000|13|1010|119976|0.84
01|01001|000801000000000|5|1635|119976|1.36
01|01001|000801000000000|87|3388|119976|2.82
01|01001|000801000000000|88|196|119976|0.16
01|01001|000901001000000|01-501|4873|119647|4.07
01|01001|000901001000000|01-502|39803|119647|33.26
01|01001|000901001000000|01-503|54192|119647|45.29
01|01001|000901001000000|01-504|6783|119647|5.66
01|01001|000901001000000|13|1043|119647|0.87
01|01001|000901001000000|5|1627|119647|1.35
01|01002|000100000000000|13|825|101003|0.81
01|01002|000100000000000|131|1785|101003|1.76
01|01002|000100000000000|132|175|101003|0.17
01|01002|000100000000000|133|2576|101003|2.55
01|01002|000100000000000|135|63766|101003|63.13
01|01002|000100000000000|136|19294|101003|19.10
01|01002|000100000000000|137|6465|101003|6.40
01|01002|000100000000000|36|72|101003|0.07
01|01002|000100000000000|57|65|101003|0.06
01|01002|000100000000000|87|3550|101003|3.51
01|01002|000201000000000|01-187|745|100666|0.74
01|01002|000201000000000|01-262|202|100666|0.20
01|01002|000201000000000|01-343|106|100666|0.10
01|01002|000201000000000|01-501|2767|100666|2.74
01|01002|000201000000000|01-502|18518|100666|18.39
01|01002|000201000000000|01-503|62645|100666|62.23
01|01002|000201000000000|01-504|5389|100666|5.35
01|01002|000201000000000|13|698|100666|0.69
01|01002|000201000000000|5|3020|100666|3.00
01|01002|000201000000000|86|68|100666|0.06
01|01002|000201000000000|87|3118|100666|3.09
01|01002|000201000000000|88|72|100666|0.07
01|01002|000301000000000|01-187|1058|100666|1.05
01|01002|000301000000000|01-262|202|100666|0.20
01|01002|000301000000000|01-343|100|100666|0.09
01|01002|000301000000000|01-501|3199|100666|3.17
01|01002|000301000000000|01-502|18138|100666|18.01
01|01002|000301000000000|01-503|62545|100666|62.13
01|01002|000301000000000|01-504|5448|100666|5.41
01|01002|000301000000000|13|674|100666|0.66
01|01002|000301000000000|5|2955|100666|2.93
01|01002|000301000000000|86|68|100666|0.06
01|01002|000301000000000|87|3043|100666|3.02
01|01002|000301000000000|88|88|100666|0.08
01|01002|000501000000000|01-187|715|100554|0.71
01|01002|000501000000000|01-501|2658|100554|2.64
01|01002|000501000000000|01-502|18713|100554|18.60
01|01002|000501000000000|01-503|65163|100554|64.80
01|01002|000501000000000|01-504|5256|100554|5.22
01|01002|000501000000000|13|655|100554|0.65
01|01002|000501000000000|87|4|100554|0.00
01|01002|000501000000000|88|91|100554|0.09
01|01002|000801000000000|01-187|741|100916|0.73
01|01002|000801000000000|01-501|2835|100916|2.80
01|01002|000801000000000|01-502|18394|100916|18.22
01|01002|000801000000000|01-503|63145|100916|62.57
01|01002|000801000000000|01-504|5036|100916|4.99
01|01002|000801000000000|13|669|100916|0.66
01|01002|000801000000000|5|2804|100916|2.77
01|01002|000801000000000|87|2899|100916|2.87
01|01002|000801000000000|88|102|100916|0.10
01|01002|000901002000000|01-501|2870|100672|2.85
01|01002|000901002000000|01-502|18415|100672|18.29
01|01002|000901002000000|01-503|63208|100672|62.78
01|01002|000901002000000|01-504|5033|100672|4.99
01|01002|000901002000000|13|683|100672|0.67
01|01002|000901002000000|5|2779|100672|2.76
01|01003|000100000000000|13|1364|113814|1.19
01|01003|000100000000000|131|1400|113814|1.23
01|01003|000100000000000|132|399|113814|0.35
