CODIGO_DISTRITO|CODIGO_SECCION|MESAS_HABILITADAS|MESAS_COMPUTADAS|CODIGO_CATEGORIA|CONTADOR|VALOR
01|01001|522|510|000100000000000|VB|3622
01|01001|522|510|000100000000000|VII|14
01|01001|522|510|000100000000000|VN|1000
01|01001|522|510|000100000000000|VR|62
01|01001|522|510|000201000000000|VB|5142
01|01001|522|510|000201000000000|VII|7
01|01001|522|510|000201000000000|VN|934
01|01001|522|510|000201000000000|VR|60
01|01001|522|510|000301000000000|VB|5392
01|01001|522|510|000301000000000|VII|9
01|01001|522|510|000301000000000|VN|961
01|01001|522|510|000301000000000|VR|64
01|01001|522|510|000501000000000|VB|9997
01|01001|522|510|000501000000000|VII|9
01|01001|522|510|000501000000000|VN|907
01|01001|522|510|000501000000000|VR|61
01|01001|522|510|000801000000000|VB|6931
01|01001|522|510|000801000000000|VII|10
01|01001|522|510|000801000000000|VN|918
01|01001|522|510|000801000000000|VR|60
01|01001|522|510|000901001000000|VB|11349
01|01001|522|510|000901001000000|VII|10
01|01001|522|510|000901001000000|VN|873
01|01001|522|510|000901001000000|VR|66
01|01002|417|408|000100000000000|VB|2446
01|01002|417|408|000100000000000|VII|20
01|01002|417|408|000100000000000|VN|745
01|01002|417|408|000100000000000|VR|39
01|01002|417|408|000201000000000|VB|3339
01|01002|417|408|000201000000000|VII|20
01|01002|417|408|000201000000000|VN|746
01|01002|417|408|000201000000000|VR|43
01|01002|417|408|000301000000000|VB|3164
01|01002|417|408|000301000000000|VII|20
01|01002|417|408|000301000000000|VN|743
01|01002|417|408|000301000000000|VR|43
01|01002|417|408|000501000000000|VB|7341
01|01002|417|408|000501000000000|VII|24
01|01002|417|408|000501000000000|VN|652
01|01002|417|408|000501000000000|VR|47
01|01002|417|408|000801000000000|VB|4310
01|01002|417|408|000801000000000|VII|20
01|01002|417|408|000801000000000|VN|693
01|01002|417|408|000801000000000|VR|44
01|01002|417|408|000901002000000|VB|7718
01|01002|417|408|000901002000000|VII|24
01|01002|417|408|000901002000000|VN|642
01|01002|417|408|000901002000000|VR|65
01|01003|472|462|000100000000000|VB|3738
01|01003|472|462|000100000000000|VII|6
01|01003|472|462|000100000000000|VN|1277
01|01003|472|462|000100000000000|VR|25
01|01003|472|462|000201000000000|VB|4997
01|01003|472|462|000201000000000|VII|5
01|01003|472|462|000201000000000|VN|1244
01|01003|472|462|000201000000000|VR|24
01|01003|472|462|000301000000000|VB|5337
01|01003|472|462|000301000000000|VII|5
01|01003|472|462|000301000000000|VN|1226
01|01003|472|462|000301000000000|VR|24
01|01003|472|462|000501000000000|VB|9918
01|01003|472|462|000501000000000|VII|5
01|01003|472|462|000501000000000|VN|1150
01|01003|472|462|000501000000000|VR|23
01|01003|472|462|000801000000000|VB|7154
01|01003|472|462|000801000000000|VII|5
01|01003|472|462|000801000000000|VN|1155
01|01003|472|462|000801000000000|VR|24
01|01003|472|462|000901003000000|VB|11816
01|01003|472|462|000901003000000|VII|11
01|01003|472|462|000901003000000|VN|1134
01|01003|472|462|000901003000000|VR|29
01|01004|529|515|000100000000000|VB|5711
01|01004|529|515|000100000000000|VII|35
01|01004|529|515|000100000000000|VN|1400
01|01004|529|515|000100000000000|VR|36
01|01004|529|515|000201000000000|VB|8190
01|01004|529|515|000201000000000|VII|36
01|01004|529|515|000201000000000|VN|1327
01|01004|529|515|000201000000000|VR|39
01|01004|529|515|000301000000000|VB|8891
01|01004|529|515|000301000000000|VII|36
01|01004|529|515|000301000000000|VN|1301
01|01004|529|515|000301000000000|VR|32
01|01004|529|515|000501000000000|VB|13987
01|01004|529|515|000501000000000|VII|34
01|01004|529|515|000501000000000|VN|1248
01|01004|529|515|000501000000000|VR|73
01|01004|529|515|000801000000000|VB|11067
01|01004|529|515|000801000000000|VII|34
01|01004|529|515|000801000000000|VN|1256
01|01004|529|515|000801000000000|VR|28
01|01004|529|515|000901004000000|VB|14742
01|01004|529|515|000901004000000|VII|48
01|01004|529|515|000901004000000|VN|1903
01|01004|529|515|000901004000000|VR|61
01|01005|460|445|000100000000000|VB|3732
01|01005|460|445|000100000000000|VII|15
01|01005|460|445|000100000000000|VN|1155
01|01005|460|445|000100000000000|VR|36
01|01005|460|445|000201000000000|VB|4523
01|01005|460|445|000201000000000|VII|13
01|01005|460|445|000201000000000|VN|1130
01|01005|460|445|000201000000000|VR|34
01|01005|460|445|000301000000000|VB|4737
01|01005|460|445|000301000000000|VII|14
01|01005|460|445|000301000000000|VN|1112
01|01005|460|445|000301000000000|VR|36
01|01005|460|445|000501000000000|VB|9110
01|01005|460|445|000501000000000|VII|14
01|01005|460|445|000501000000000|VN|1051
01|01005|460|445|000501000000000|VR|33
