CODIGO_DISTRITO|CODIGO_SECCION|MESAS_HABILITADAS|MESAS_COMPUTADAS|CODIGO_CATEGORIA|CONTADOR|VALOR
01|01001|522|522|000100000000000|VB|3674
01|01001|522|522|000100000000000|VII|14
01|01001|522|522|000100000000000|VN|1010
01|01001|522|522|000100000000000|VR|62
01|01001|522|522|000201000000000|VB|5192
01|01001|522|522|000201000000000|VII|7
01|01001|522|522|000201000000000|VN|942
01|01001|522|522|000201000000000|VR|60
01|01001|522|522|000301000000000|VB|5447
01|01001|522|522|000301000000000|VII|9
01|01001|522|522|000301000000000|VN|969
01|01001|522|522|000301000000000|VR|64
01|01001|522|522|000501000000000|VB|10106
01|01001|522|522|000501000000000|VII|9
01|01001|522|522|000501000000000|VN|914
01|01001|522|522|000501000000000|VR|61
01|01001|522|522|000801000000000|VB|7009
01|01001|522|522|000801000000000|VII|10
01|01001|522|522|000801000000000|VN|926
01|01001|522|522|000801000000000|VR|60
01|01001|522|522|000901001000000|VB|11457
01|01001|522|522|000901001000000|VII|10
01|01001|522|522|000901001000000|VN|881
01|01001|522|522|000901001000000|VR|66
01|01002|417|417|000100000000000|VB|2493
01|01002|417|417|000100000000000|VII|21
01|01002|417|417|000100000000000|VN|756
01|01002|417|417|000100000000000|VR|39
01|01002|417|417|000201000000000|VB|3384
01|01002|417|417|000201000000000|VII|21
01|01002|417|417|000201000000000|VN|755
01|01002|417|417|000201000000000|VR|43
01|01002|417|417|000301000000000|VB|3208
01|01002|417|417|000301000000000|VII|21
01|01002|417|417|000301000000000|VN|752
01|01002|417|417|000301000000000|VR|43
01|01002|417|417|000501000000000|VB|7474
01|01002|417|417|000501000000000|VII|25
01|01002|417|417|000501000000000|VN|662
01|01002|417|417|000501000000000|VR|47
01|01002|417|417|000801000000000|VB|4377
01|01002|417|417|000801000000000|VII|21
01|01002|417|417|000801000000000|VN|703
01|01002|417|417|000801000000000|VR|44
01|01002|417|417|000901002000000|VB|7845
01|01002|417|417|000901002000000|VII|25
01|01002|417|417|000901002000000|VN|651
01|01002|417|417|000901002000000|VR|65
01|01003|472|472|000100000000000|VB|3790
01|01003|472|472|000100000000000|VII|7
01|01003|472|472|000100000000000|VN|1299
01|01003|472|472|000100000000000|VR|25
01|01003|472|472|000201000000000|VB|5051
01|01003|472|472|000201000000000|VII|6
01|01003|472|472|000201000000000|VN|1262
01|01003|472|472|000201000000000|VR|24
01|01003|472|472|000301000000000|VB|5396
01|01003|472|472|000301000000000|VII|6
01|01003|472|472|000301000000000|VN|1244
01|01003|472|472|000301000000000|VR|24
01|01003|472|472|000501000000000|VB|10027
01|01003|472|472|000501000000000|VII|6
01|01003|472|472|000501000000000|VN|1166
01|01003|472|472|000501000000000|VR|23
01|01003|472|472|000801000000000|VB|7227
01|01003|472|472|000801000000000|VII|6
01|01003|472|472|000801000000000|VN|1171
01|01003|472|472|000801000000000|VR|24
01|01003|472|472|000901003000000|VB|11937
01|01003|472|472|000901003000000|VII|12
01|01003|472|472|000901003000000|VN|1150
01|01003|472|472|000901003000000|VR|29
01|01004|529|529|000100000000000|VB|5801
01|01004|529|529|000100000000000|VII|35
01|01004|529|529|000100000000000|VN|1426
01|01004|529|529|000100000000000|VR|36
01|01004|529|529|000201000000000|VB|8324
01|01004|529|529|000201000000000|VII|36
01|01004|529|529|000201000000000|VN|1349
01|01004|529|529|000201000000000|VR|39
01|01004|529|529|000301000000000|VB|9021
01|01004|529|529|000301000000000|VII|36
01|01004|529|529|000301000000000|VN|1324
01|01004|529|529|000301000000000|VR|32
01|01004|529|529|000501000000000|VB|14203
01|01004|529|529|000501000000000|VII|55
01|01004|529|529|000501000000000|VN|1267
01|01004|529|529|000501000000000|VR|74
01|01004|529|529|000801000000000|VB|11239
01|01004|529|529|000801000000000|VII|34
01|01004|529|529|000801000000000|VN|1277
01|01004|529|529|000801000000000|VR|28
01|01004|529|529|000901004000000|VB|14975
01|01004|529|529|000901004000000|VII|49
01|01004|529|529|000901004000000|VN|1945
01|01004|529|529|000901004000000|VR|61
01|01005|460|460|000100000000000|VB|3810
01|01005|460|460|000100000000000|VII|15
01|01005|460|460|000100000000000|VN|1182
01|01005|460|460|000100000000000|VR|38
