CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
01|01002|000100000000000|13|1253|13398|9.35
01|01002|000100000000000|131|1253|13398|9.35
01|01002|000100000000000|132|1253|13398|9.35
01|01002|000100000000000|133|1253|13398|9.35
01|01002|000100000000000|135|1253|13398|9.35
01|01002|000100000000000|136|1253|13398|9.35
01|01002|000100000000000|137|1253|13398|9.35
01|01002|000100000000000|36|1253|13398|9.35
01|01002|000100000000000|57|1253|13398|9.35
01|01002|000100000000000|87|1253|13398|9.35
01|01002|000201000000000|01-187|1253|15834|7.91
01|01002|000201000000000|01-262|1253|15834|7.91
01|01002|000201000000000|01-343|1253|15834|7.91
01|01002|000201000000000|01-501|1253|15834|7.91
01|01002|000201000000000|01-502|1253|15834|7.91
01|01002|000201000000000|01-503|1253|15834|7.91
01|01002|000201000000000|01-504|1253|15834|7.91
01|01002|000201000000000|13|1253|15834|7.91
01|01002|000201000000000|5|1253|15834|7.91
01|01002|000201000000000|86|1253|15834|7.91
01|01002|000201000000000|87|1253|15834|7.91
01|01002|000201000000000|88|1253|15834|7.91
01|01002|000301000000000|01-187|1253|15834|7.91
01|01002|000301000000000|01-262|1253|15834|7.91
01|01002|000301000000000|01-343|1253|15834|7.91
01|01002|000301000000000|01-501|1253|15834|7.91
01|01002|000301000000000|01-502|1253|15834|7.91
01|01002|000301000000000|01-503|1253|15834|7.91
01|01002|000301000000000|01-504|1253|15834|7.91
01|01002|000301000000000|13|1253|15834|7.91
01|01002|000301000000000|5|1253|15834|7.91
01|01002|000301000000000|86|1253|15834|7.91
01|01002|000301000000000|87|1253|15834|7.91
01|01002|000301000000000|88|1253|15834|7.91
01|01002|000501000000000|01-187|1253|10962|11.43
01|01002|000501000000000|01-501|1253|10962|11.43
01|01002|000501000000000|01-502|1253|10962|11.43
01|01002|000501000000000|01-503|1253|10962|11.43
01|01002|000501000000000|01-504|1253|10962|11.43
01|01002|000501000000000|13|1253|10962|11.43
01|01002|000501000000000|87|1253|10962|11.43
01|01002|000501000000000|88|1253|10962|11.43
01|01002|000801000000000|01-187|1253|13398|9.35
01|01002|000801000000000|01-501|1253|13398|9.35
01|01002|000801000000000|01-502|1253|13398|9.35
01|01002|000801000000000|01-503|1253|13398|9.35
01|01002|000801000000000|01-504|1253|13398|9.35
01|01002|000801000000000|13|1253|13398|9.35
01|01002|000801000000000|5|1253|13398|9.35
01|01002|000801000000000|87|2506|13398|18.70
01|01002|000801000000000|88|1253|13398|9.35
01|01002|000901002000000|01-501|1253|8526|14.69
01|01002|000901002000000|01-502|1253|8526|14.69
01|01002|000901002000000|01-503|1253|8526|14.69
01|01002|000901002000000|01-504|1253|8526|14.69
01|01002|000901002000000|13|1253|8526|14.69
01|01002|000901002000000|5|1253|8526|14.69
01|01004|000100000000000|13|1568|17248|9.09
01|01004|000100000000000|131|1568|17248|9.09
01|01004|000100000000000|132|1568|17248|9.09
01|01004|000100000000000|133|1568|17248|9.09
