CODIGO_REGION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
00000000|000100000000000|13|152747|21341161|0.71
00000000|000100000000000|131|565040|21341161|2.64
00000000|000100000000000|132|51399|21341161|0.24
00000000|000100000000000|133|615380|21341161|2.88
00000000|000100000000000|135|6914132|21341161|32.39
00000000|000100000000000|136|10071133|21341161|47.19
00000000|000100000000000|137|1793969|21341161|8.40
00000000|000100000000000|36|25534|21341161|0.11
00000000|000100000000000|57|32814|21341161|0.15
00000000|000100000000000|87|477817|21341161|2.23
00000000|000201000000000|01-187|23453|1825647|1.28
00000000|000201000000000|01-262|5004|1825647|0.27
00000000|000201000000000|01-343|3726|1825647|0.20
00000000|000201000000000|01-501|77249|1825647|4.23
00000000|000201000000000|01-502|583914|1825647|31.98
00000000|000201000000000|01-503|824547|1825647|45.16
00000000|000201000000000|01-504|137709|1825647|7.54
00000000|000201000000000|13|17598|1825647|0.96
00000000|000201000000000|5|16501|1825647|0.90
00000000|000201000000000|86|1867|1825647|0.10
00000000|000201000000000|87|57292|1825647|3.13
00000000|000201000000000|88|1917|1825647|0.10
00000000|000206000000000|06-156|14176|395658|3.58
00000000|000206000000000|06-179|2013|395658|0.50
00000000|000206000000000|06-180|1375|395658|0.34
00000000|000206000000000|06-501|233493|395658|59.01
00000000|000206000000000|06-502|2166|395658|0.54
00000000|000206000000000|06-503|101943|395658|25.76
00000000|000206000000000|06-504|9925|395658|2.50
00000000|000206000000000|33|3644|395658|0.92
00000000|000206000000000|71|5676|395658|1.43
00000000|000208000000000|08-501|346440|780158|44.40
00000000|000208000000000|08-502|284595|780158|36.47
00000000|000208000000000|13|7122|780158|0.91
00000000|000208000000000|50|67286|780158|8.62
00000000|000208000000000|68|17045|780158|2.18
00000000|000215000000000|13|3727|334526|1.11
00000000|000215000000000|15-151|66105|334526|19.76
00000000|000215000000000|15-501|81485|334526|24.35
00000000|000215000000000|15-502|16619|334526|4.96
00000000|000215000000000|15-503|117064|334526|34.99
00000000|000215000000000|15-504|17119|334526|5.11
00000000|000216000000000|13|3679|365133|1.00
00000000|000216000000000|16-169|107323|365133|29.39
00000000|000216000000000|16-502|160367|365133|43.92
00000000|000216000000000|16-503|12043|365133|3.29
00000000|000217000000000|17-501|298107|617290|48.29
00000000|000217000000000|17-502|111708|617290|18.09
00000000|000217000000000|17-503|140329|617290|22.73
00000000|000217000000000|17-504|21003|617290|3.40
00000000|000217000000000|19|28460|617290|4.61
00000000|000222000000000|22-178|3725|529384|0.70
00000000|000222000000000|22-179|2945|529384|0.55
00000000|000222000000000|22-501|299058|529384|56.49
00000000|000222000000000|22-502|106203|529384|20.06
00000000|000222000000000|22-503|71386|529384|13.48
00000000|000222000000000|38|5383|529384|1.01
00000000|000222000000000|40|14386|529384|2.71
00000000|000222000000000|87|3777|529384|0.71
00000000|000224000000000|24-187|4506|87063|5.17
00000000|000224000000000|24-203|2510|87063|2.88
00000000|000224000000000|24-501|35966|87063|41.31
00000000|000224000000000|24-502|15132|87063|17.38
00000000|000224000000000|24-503|10951|87063|12.57
00000000|000224000000000|69|7844|87063|9.00
00000000|000301000000000|01-187|30253|1825338|1.65
00000000|000301000000000|01-262|4974|1825338|0.27
00000000|000301000000000|01-343|3739|1825338|0.20
00000000|000301000000000|01-501|86439|1825338|4.73
00000000|000301000000000|01-502|572891|1825338|31.38
00000000|000301000000000|01-503|816375|1825338|44.72
00000000|000301000000000|01-504|137749|1825338|7.54
00000000|000301000000000|13|17160|1825338|0.94
00000000|000301000000000|5|16556|1825338|0.90
00000000|000301000000000|86|1896|1825338|0.10
00000000|000301000000000|87|56471|1825338|3.09
00000000|000301000000000|88|2044|1825338|0.11
00000000|000302000000000|02-207|12807|7677280|0.16
00000000|000302000000000|02-276|56802|7677280|0.73
00000000|000302000000000|02-309|8836|7677280|0.11
00000000|000302000000000|02-312|19358|7677280|0.25
00000000|000302000000000|02-314|6626|7677280|0.08
00000000|000302000000000|02-315|1480|7677280|0.01
00000000|000302000000000|02-503|3743363|7677280|48.75
00000000|000302000000000|02-816|16867|7677280|0.21
00000000|000302000000000|133|279518|7677280|3.64
00000000|000302000000000|135|2388162|7677280|31.10
